epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,445.398,1.5987,3.19941,1.84108,0.67137,0.38169,0.20574,0.10444,1.40397,3.12642,1.84713,0.000413732,0.000413732,0.000413732
2,904.135,1.35758,2.06878,1.56965,0.77267,0.32619,0.28285,0.16225,1.27857,1.98118,1.74985,0.000813957,0.000813957,0.000813957
3,1299.36,1.30698,1.73134,1.52705,0.78829,0.27464,0.28755,0.16521,1.34577,1.79648,1.80664,0.00119768,0.00119768,0.00119768
4,1701.29,1.25942,1.55362,1.48223,0.82052,0.34579,0.35667,0.21744,1.23878,1.41357,1.68186,0.00117575,0.00117575,0.00117575
5,2118.56,1.23095,1.45824,1.44838,0.86416,0.35723,0.37393,0.2157,1.32422,1.29258,1.78076,0.001151,0.001151,0.001151
6,2521.14,1.19541,1.40182,1.43031,0.77548,0.34703,0.33465,0.18671,1.36063,1.45005,1.79566,0.00112625,0.00112625,0.00112625
7,2929.15,1.16489,1.28816,1.40443,0.89988,0.39629,0.40174,0.22793,1.28979,1.05737,1.72765,0.0011015,0.0011015,0.0011015
8,3342.01,1.15095,1.24944,1.39477,0.85237,0.35323,0.38735,0.22633,1.29187,1.18184,1.74882,0.00107675,0.00107675,0.00107675
9,3748.34,1.1482,1.19166,1.38606,0.85704,0.40366,0.43369,0.25428,1.25687,1.11243,1.70926,0.001052,0.001052,0.001052
10,4159.01,1.10457,1.13729,1.36692,0.84187,0.35749,0.41263,0.22969,1.26461,1.268,1.69926,0.00102725,0.00102725,0.00102725
11,4563.17,1.09762,1.12061,1.354,0.81367,0.37717,0.37153,0.23373,1.30151,1.18001,1.75637,0.0010025,0.0010025,0.0010025
12,4968.33,1.07545,1.06284,1.34305,0.76928,0.39933,0.34128,0.19395,1.40709,1.3781,1.83376,0.00097775,0.00097775,0.00097775
13,5377.2,1.05642,1.03218,1.32686,0.91404,0.38789,0.47187,0.25419,1.28992,0.98572,1.77844,0.000953,0.000953,0.000953
14,5784.36,1.04398,1.01923,1.32447,0.34654,0.58285,0.4235,0.24754,1.25661,0.94478,1.72711,0.00092825,0.00092825,0.00092825
15,6187.59,1.02669,0.97708,1.30266,0.93227,0.40123,0.5293,0.29113,1.2611,0.92184,1.70495,0.0009035,0.0009035,0.0009035
16,6600.03,1.01216,0.94585,1.28695,0.37557,0.58898,0.54784,0.30267,1.27386,0.89098,1.7066,0.00087875,0.00087875,0.00087875
17,7003.87,0.98593,0.90563,1.27605,0.45198,0.56501,0.52748,0.30163,1.22003,0.95772,1.66787,0.000854,0.000854,0.000854
18,7414.27,0.98157,0.90051,1.27694,0.44724,0.57835,0.48555,0.29938,1.31623,1.14231,1.76549,0.00082925,0.00082925,0.00082925
19,7822.7,0.95912,0.877,1.25156,0.35837,0.57679,0.48574,0.27771,1.25763,1.07662,1.71011,0.0008045,0.0008045,0.0008045
20,8228.93,0.94705,0.87093,1.25121,0.39129,0.67256,0.48373,0.2807,1.27714,1.0754,1.73547,0.00077975,0.00077975,0.00077975
21,8631.79,0.94654,0.84026,1.25128,0.58306,0.57322,0.54824,0.31277,1.28342,0.89161,1.73172,0.000755,0.000755,0.000755
22,9035.98,0.92033,0.82365,1.22733,0.52574,0.67966,0.57902,0.33188,1.25259,0.91314,1.70592,0.00073025,0.00073025,0.00073025
23,9437.99,0.89333,0.784,1.21869,0.70923,0.46532,0.5365,0.30806,1.29205,1.03787,1.72887,0.0007055,0.0007055,0.0007055
24,9849.76,0.90391,0.75512,1.21842,0.40157,0.59044,0.5108,0.28419,1.267,0.93328,1.72929,0.00068075,0.00068075,0.00068075
25,10256.6,0.90714,0.76978,1.21682,0.43404,0.65854,0.55952,0.3096,1.2991,0.9553,1.75441,0.000656,0.000656,0.000656
26,10667.3,0.89307,0.7577,1.21532,0.78279,0.53835,0.59255,0.3341,1.29623,0.87407,1.77721,0.00063125,0.00063125,0.00063125
27,11079.1,0.86747,0.73907,1.20227,0.46538,0.64437,0.6314,0.35163,1.26628,0.85245,1.73456,0.0006065,0.0006065,0.0006065
28,11482.8,0.85707,0.73335,1.19549,0.5535,0.72828,0.60738,0.35751,1.25105,0.86423,1.72957,0.00058175,0.00058175,0.00058175
29,11887.3,0.8405,0.70149,1.18645,0.59637,0.70367,0.64218,0.36588,1.27741,0.86448,1.72079,0.000557,0.000557,0.000557
30,12295,0.83022,0.69486,1.17854,0.67449,0.62191,0.62715,0.36089,1.27956,0.96907,1.74768,0.00053225,0.00053225,0.00053225
31,12702.6,0.8458,0.68616,1.18307,0.57464,0.68036,0.67046,0.37525,1.24629,0.80741,1.6891,0.0005075,0.0005075,0.0005075
32,13103.6,0.81561,0.67336,1.16356,0.55755,0.69167,0.61171,0.34773,1.26471,0.90538,1.73002,0.00048275,0.00048275,0.00048275
33,13512.3,0.80975,0.66026,1.16371,0.57669,0.67201,0.66283,0.37459,1.2496,0.82042,1.70745,0.000458,0.000458,0.000458
34,13916.8,0.79062,0.6402,1.15112,0.48474,0.6582,0.63831,0.36877,1.28764,0.87651,1.73692,0.00043325,0.00043325,0.00043325
35,14321,0.7941,0.64856,1.15083,0.59168,0.74025,0.66626,0.39424,1.24759,0.80168,1.73402,0.0004085,0.0004085,0.0004085
36,14729.7,0.79128,0.63808,1.15166,0.56904,0.66463,0.65117,0.38968,1.28361,0.86618,1.73301,0.00038375,0.00038375,0.00038375
37,15139.7,0.77704,0.61488,1.14016,0.60779,0.5937,0.61206,0.37614,1.27059,0.96356,1.72739,0.000359,0.000359,0.000359
