epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2100.54,1.31124,2.47295,1.59553,0.53123,0.50458,0.46137,0.25339,1.43394,2.71211,1.83203,0.000415767,0.000415767,0.000415767
2,5162.83,1.36239,1.84811,1.6306,0.62056,0.55859,0.60713,0.31311,1.53749,1.94514,1.96942,0.000815951,0.000815951,0.000815951
3,8071.33,1.37365,1.71746,1.64625,0.67017,0.51385,0.57343,0.29649,1.67974,2.16826,1.94623,0.00119964,0.00119964,0.00119964
4,10942.7,1.34208,1.59008,1.61939,0.70338,0.67699,0.69442,0.39948,1.34905,1.49498,1.72513,0.00117575,0.00117575,0.00117575
5,13777.3,1.28757,1.47441,1.57352,0.79046,0.66463,0.74746,0.45291,1.27901,1.31969,1.66344,0.001151,0.001151,0.001151
6,16730.5,1.24723,1.39638,1.53767,0.81379,0.70263,0.78428,0.45819,1.32112,1.19792,1.67076,0.00112625,0.00112625,0.00112625
7,19621,1.21464,1.33309,1.51324,0.79326,0.70992,0.79884,0.49198,1.26647,1.14867,1.62458,0.0011015,0.0011015,0.0011015
8,22511.7,1.18005,1.25232,1.48795,0.85226,0.69635,0.80171,0.52778,1.18775,1.13662,1.59024,0.00107675,0.00107675,0.00107675
9,25384.9,1.15865,1.20674,1.47096,0.82968,0.78092,0.83012,0.54315,1.19112,0.99228,1.54355,0.001052,0.001052,0.001052
10,28251.2,1.14103,1.16563,1.45609,0.81381,0.78045,0.83099,0.56779,1.10426,0.97035,1.49497,0.00102725,0.00102725,0.00102725
11,31164.3,1.10891,1.11792,1.42896,0.8427,0.81911,0.86505,0.59749,1.05876,0.86385,1.46803,0.0010025,0.0010025,0.0010025
12,34095.3,1.10995,1.09922,1.42687,0.84061,0.81168,0.86091,0.60479,1.06356,0.87865,1.45648,0.00097775,0.00097775,0.00097775
